"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
495435,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","cmd_closeTab (ctrl+w) does not work (close the tab)","2011-06-12 02:28:30"
496879,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","oncommand attribute on scrollbox is fired twice","2011-06-12 02:25:32"
499277,"Firefox for Android Graveyard","Panning/Zooming",21,"RESOLVED","FIXED","Once unzoom, dblClickink can thrown an error : aElement is null","2010-02-23 22:06:10"
499946,"Firefox for Android Graveyard","Panning/Zooming",21,"RESOLVED","FIXED","DOMMouseScroll on chrome UI fire content zoom","2010-02-23 22:06:24"
500012,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Extension pages visited through Extension panel are loaded with right panel in view","2011-06-12 02:27:08"
500208,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","<select> element should update label when script changes selection","2011-06-12 02:28:00"
500427,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","1px left above the findbar","2011-06-12 02:27:18"
501326,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","helperApp should be localized","2011-06-12 02:27:15"
501693,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Remove unuseful box","2009-09-29 06:25:41"
502745,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","SelectHelper should scroll the first selected element into view (into select-list)","2009-07-28 20:37:10"
502828,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","mouseout is handle twice in InputHandler.js","2009-07-09 08:12:57"
509005,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","few typo errors in wince themes","2011-06-12 02:27:20"
509732,"Toolkit","XUL Widgets",21,"RESOLVED","FIXED","Don't do slideIn animation if the height of the notification is 0","2011-09-19 10:35:13"
510418,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Consider setting app.update.showInstalledUI to false in fennec's default prefs","2011-06-12 02:26:03"
510488,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","min-width and min-height for toolbar-button.urlbar-cap-button should be !important;","2011-06-12 02:28:15"
510858,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","helperapp buttons class should be button-dark","2011-06-12 02:26:29"
510862,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","polish browser.xul","2011-06-12 02:26:39"
511493,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Tab strip should dynamically reflow thumbnails based on screen size","2013-12-10 09:58:59"
512006,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","factorize the way we handle ESCAPE to close dialogs","2011-06-12 02:27:13"
515609,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","listbox select item on mouse down","2011-06-12 02:25:31"
515683,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","get rid of the mousedown listener on widgets","2009-09-10 11:26:43"
516376,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","no pressed/checked state css rules for some buttons","2009-09-14 09:51:47"
517201,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","add a the same color as .panel-dark for the .sidebar-spacer","2009-09-17 07:32:43"
520368,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","<menulist> Setting onchange Handler Does Not Fire","2013-12-10 09:59:15"
522039,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","The prompt-service should dismiss the alert/prompt/confirm/... on VK_RETURN / VK_ESCAPE","2011-06-12 02:26:41"
522257,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","getting an error on missing function HandleEvent while installing extension","2009-12-16 20:55:26"
523718,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","The locale menulist switch handler should be oncommand not onchange","2009-10-22 08:09:47"
529912,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","<setting/> should provide type=""integer""","2009-12-01 09:08:59"
530495,"Toolkit","XUL Widgets",21,"RESOLVED","FIXED","textbox.xml throw an error (line 175) if the textbox.inputField didn't exist","2009-11-29 15:04:54"
535551,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Missing dragData declaration in onMouseDown in InputHandler.js","2011-06-12 02:26:37"
538999,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Formfill does not zoom out on load of dynamically loaded page content","2010-06-04 02:03:51"
541817,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Fennec needs find in page functionality (CTRL+F)","2010-09-13 15:33:43"
546273,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Form Assistant misses focus on profiles.yahoo.com.","2010-03-04 09:06:58"
546386,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Form Assistant buttons are inactive if text fields lay inside frameset.","2010-06-28 15:23:04"
547731,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser-ui.js#159 tab is null error","2010-03-04 12:13:13"
552526,"Mozilla Labs","Design",21,"RESOLVED","FIXED","fennec UI - style for site menu","2010-03-29 13:42:13"
556016,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Fennec should use NodesFromRect","2011-06-12 02:25:53"
558960,"Firefox for Android Graveyard","Bookmarks",21,"RESOLVED","FIXED","Unable to save folder name change to ""Desktop Bookmarks""","2010-04-14 09:47:31"
559413,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","getAllLogin call should be replace by findLogins","2010-04-15 07:32:06"
559445,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","TEST-UNEXPECTED-FAIL test_bug544765.xul","2011-06-12 02:27:21"
559458,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","document.getElementById(""prompt-confirm-dialog"") can be null in confirm.xul","2010-04-15 07:43:40"
559651,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Remove EventInfo wrapper","2010-07-19 07:59:19"
560426,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Form fill interferes with custom input autocomplete arrow keys","2010-07-01 13:27:12"
561733,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Mouse click event in iframe doesn't fire","2010-04-28 08:06:57"
562189,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Warnings are displayed in Error Console when only Errors should be displayed.","2010-04-28 14:13:20"
562366,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","revise dialog styling to match new context and site menus","2010-05-05 06:53:36"
562541,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","The reload button in the url bar doesn't support shift-reload","2010-05-03 08:20:10"
562981,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Mouse click event in iframe has wrong coordinates","2010-05-03 08:44:25"
564012,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Form helper can't navigate in nested frames","2010-06-04 02:03:36"
564019,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Thick border on iframe can cause inputs to become unclickable","2010-05-18 13:49:51"
564786,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Remove old WidgetStack tests","2011-06-12 02:26:18"
565329,"Core","JavaScript Engine",21,"RESOLVED","FIXED","build error in jstracer.cpp if MOZ_TRACEVIS is enabled","2010-06-03 05:44:03"
566288,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","[e10s] Move FormHelper code into its own file","2010-06-21 13:41:56"
566586,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","[f10s] Remove MessagePasser code","2010-06-01 08:50:49"
566640,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","[f10s] Move mIconURL to browser.xml","2010-06-08 09:13:00"
567472,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","content.css performance issues","2010-06-02 03:07:16"
568092,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","e10s: Add a messsage API for DOMTitleChanged/DOMLinkAdded/...","2010-06-08 08:29:24"
568818,"Core","DOM: Events",21,"RESOLVED","FIXED","sendSyncMessage fails with ""SyntaxError: JSON.parse"" if one of the listeners did not return a value","2010-07-15 09:17:46"
569539,"Core","JavaScript Engine",21,"RESOLVED","FIXED","build error in jsdbgapi.cpp if MOZ_TRACEVIS is enabled","2010-06-03 05:44:46"
569681,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","content.document.defaultView == content","2010-06-04 02:06:42"
570969,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","[f10s] Remove isRootWindow and use currentInnerWindowId instead","2010-06-09 14:38:09"
571489,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Use calc() instead of top: 35% in the svg select arrow image","2010-09-13 08:24:42"
571868,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Pull identity data from message data","2011-06-12 02:01:50"
572326,"Firefox Build System","General",21,"RESOLVED","FIXED","build error in layout/tools/layout-debug/application.ini","2018-03-02 12:12:20"
572696,"Core","DOM",21,"RESOLVED","FIXED","Fennec should understand meta viewport with spaces","2010-11-05 11:12:49"
573041,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Clicker code should happen on content side","2010-06-21 13:20:38"
573443,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Remove Util.Timeout in Util.js","2011-06-12 02:25:59"
573560,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Simplify the Form Assistant code in browser-ui.js","2010-07-13 09:21:34"
573561,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Simplify the Form Assistant code in forms.js","2010-07-14 14:04:55"
573579,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Rename the ViewportMetadata message sent from content.js","2011-06-12 02:26:26"
573732,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Clicking a link with multiple rendered rects doesn't work","2011-06-12 02:28:14"
578672,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Need sendSyncMessage for messages that require a return value","2011-06-12 02:26:52"
580576,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Clicking ""Share your location"" in Fennec fails with an error in GeolocationPrompt.js","2010-07-22 11:25:38"
580676,"Core","General",21,"RESOLVED","FIXED","Add content prefs service service to Services.jsm","2010-07-22 00:10:21"
581139,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Add a working infrastructure for e10s tests","2011-08-15 19:34:07"
581568,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","fix browser_bookmarks.js to work with e10s","2011-06-12 02:26:36"
582745,"Firefox for Android Graveyard","Bookmarks",21,"RESOLVED","FIXED","Errors during browser_bookmarks_star.js tests","2010-08-24 01:59:20"
588942,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Error in LoginManagerChild.js : foundLogins is undefined","2010-09-02 16:57:09"
592562,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","RTL small UI issues after the landing of bug 476423","2011-06-12 02:25:41"
593237,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Use defineLazyGetter/defineLazyGetterService","2011-06-12 02:25:35"
595625,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","AutoCompleteCache does not use the new getLabelAt method","2010-09-12 07:33:56"
595628,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","warning into bindings.xml: mIgnore focus is read only","2010-09-12 07:35:19"
595639,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Prevent badges handlers to access the awesome row directly","2011-06-12 02:25:29"
596282,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Error in the js console if fullcount does not exists","2011-06-12 02:27:27"
596935,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","this._dragger is null into InputHandler.js when dismissing a context menu","2011-06-12 02:25:12"
597022,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser-chrome unittests have references to tile-container","2011-06-12 02:25:21"
598621,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Outline around #tile-stack > div should be removed","2010-09-29 15:40:24"
598958,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","[TEST] browser_select browser-chrome test is busted","2011-06-12 02:27:11"
600108,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_click_content.js - timeout on linux desktop run","2010-09-28 13:59:53"
603848,"Core","Event Handling",21,"RESOLVED","FIXED","Add a notifier observer about the IME State","2010-10-18 14:49:13"
604192,"Core","Event Handling",21,"RESOLVED","FIXED","IME opened into the chrome process should not be dismissed by the content process","2010-10-20 16:42:17"
609931,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_awesomescreen.js test is timing out","2011-06-12 02:27:46"
610725,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","crash-stats.mozilla.org product selector doesn't work","2011-06-03 06:14:10"
616511,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_sessionstore.js is failing and browser_select.js leave the content navigator bar opened","2011-06-12 02:26:51"
620040,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Random failure into browser_forms.js","2011-06-12 02:27:38"
621528,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_awesomescreen.js selection failure","2011-06-12 02:28:19"
621913,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Re-enable the 'click' test for browser_forms.js","2011-06-12 02:27:02"
628679,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Random browser_addons.js timeout","2011-06-12 02:26:09"
632802,"Core","Layout: Misc Code",21,"RESOLVED","FIXED","warnings are lying in PresShell::Observe","2011-02-11 00:27:23"
633751,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","desCtructor typos in some XLB","2011-06-12 02:28:04"
636139,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_scrollbar.js failure","2011-06-12 02:27:42"
636140,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","browser_tapping.js failure","2011-06-12 02:26:35"
644435,"Tree Management Graveyard","TBPL",21,"RESOLVED","FIXED","Ability to filter results on machine's name","2015-04-13 15:57:33"
644641,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Fix perma-oranges browser-chrome tests on desktop","2011-03-25 10:44:50"
648026,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Move Content Popup Helper out of FormHelperUI","2011-05-16 08:38:32"
707734,"Core","Selection",21,"RESOLVED","FIXED","Disable 'click and drag' text selection in nsFrame.cpp for touch enable devices","2017-11-13 19:53:00"
709010,"Core","General",21,"RESOLVED","FIXED","Add an empty components dir to b2g/","2012-01-30 05:25:34"
709013,"Core","General",21,"RESOLVED","FIXED","Handle the MozApplicationManifest event in b2g/","2012-01-30 05:25:24"
709015,"Core","General",21,"RESOLVED","FIXED","Modify the install-gaia target to generate a default webapps,json for b2g/","2011-12-28 02:03:00"
710548,"Core","General",21,"RESOLVED","FIXED","Add the offline-app, webapp-manage permissions to pre-installed apps.","2011-12-14 12:06:18"
710804,"Core","General",21,"RESOLVED","FIXED","[b2g] Use postMessage instead of an event to the homescreen for closing an app","2011-12-14 12:05:28"
711358,"Core","General",21,"RESOLVED","FIXED","[b2g] Add indexedDB-unlimited permission to pre-installed apps","2011-12-26 18:00:28"
711488,"Core","General",21,"RESOLVED","FIXED","Replace some forgotten PR_TRUE with true in dom/battery && dom/sms","2011-12-19 08:35:43"
711986,"Core","General",21,"RESOLVED","FIXED","[b2g] Use semi-transparent floating scrollbars for scrollable frames","2012-07-21 04:10:14"
715205,"Firefox OS","General",21,"RESOLVED","FIXED","b2g application can't run Gaia's browser-chrome tests","2012-01-06 15:49:06"
715814,"Core","DOM",21,"RESOLVED","FIXED","Web Activities","2013-05-23 04:48:37"
717844,"Firefox OS","General",21,"RESOLVED","FIXED","implement scrolling for B2G","2012-12-20 23:13:15"
718651,"Firefox OS","General",21,"RESOLVED","FIXED","Add B2GComponents,manifest/xpt to b2g/installer/package.manifest","2012-01-19 02:39:48"
718652,"Firefox OS","General",21,"RESOLVED","FIXED","Send a sleep event on the homescreen window when the screen is turned on/off","2012-01-19 02:42:58"
720811,"Core","DOM: Device Interfaces",21,"RESOLVED","FIXED","this._activeCall is null is the call has not been answered","2012-01-26 15:06:20"
720831,"Core","DOM: Device Interfaces",21,"RESOLVED","FIXED","Use a whitelist for mozTelephony instead of a single url","2012-02-29 19:40:34"
721004,"Firefox OS","General",21,"RESOLVED","FIXED","Load webapi+apps.js inside as a frame script instead of having to copy it to all applications","2012-02-15 03:53:16"
721777,"Core","DOM",21,"RESOLVED","FIXED","Capture window.open calls to redirect them depending on their target","2012-02-02 06:57:22"
722031,"Firefox OS","General",21,"RESOLVED","FIXED","Move mozKeyboard from shell.js to webapi.js","2012-02-02 06:57:14"
722035,"Core","General",21,"RESOLVED","FIXED","Use 'content' instead of shell.home where it is possible","2012-02-02 06:57:09"
722197,"Core","Networking",21,"RESOLVED","FIXED","Add a preference to map some domain names to localhost","2014-10-05 11:47:01"
722812,"Firefox OS","General",21,"RESOLVED","FIXED","Don't send fake touch events on Gonk","2012-02-09 10:34:51"
723902,"Firefox OS","General",21,"RESOLVED","FIXED","Change the b2g/ boilerplate to MPL 2.0","2012-02-09 10:35:04"
723963,"Firefox OS","General",21,"RESOLVED","FIXED","Add the clock application to the pre-installed list of webapps","2012-02-09 10:34:41"
725312,"Core","DOM",21,"RESOLVED","FIXED","Rename nsDOMEventTargetWrapperCache to nsDOMEventTargetHelper in dom/telephony/","2012-02-09 10:30:27"
727443,"Firefox OS","General",21,"RESOLVED","FIXED","Do not fire a click when the user stops the kinetic panning by touching the screen","2012-02-17 17:55:04"
728128,"Firefox OS","General",21,"RESOLVED","FIXED","Make behavior of the ""hardware"" buttons configurable","2012-02-24 02:41:24"
728373,"Firefox OS","General",21,"RESOLVED","FIXED","Ensure the xul window handle keypress when the screen goes fullscreen","2012-02-17 17:54:49"
729428,"Firefox OS","General",21,"RESOLVED","FIXED","B2G cancel click event","2012-02-24 02:41:12"
729430,"Core","General",21,"RESOLVED","FIXED","Expose screen.mozEnabled, screen.mozBrightness to whitelisted applications","2012-02-24 02:43:41"
729441,"Firefox OS","General",21,"RESOLVED","FIXED","Add back the httpd daemon for desktop build","2012-02-24 02:41:03"
730434,"Firefox OS","General",21,"RESOLVED","FIXED","chrome/content/shell.js: remove 'home' event and other non-standard event types","2012-03-02 06:21:28"
730848,"Core","Widget",21,"RESOLVED","FIXED","[Gonk] Generate key events instead of AppCommands for devices hw keys","2012-03-02 06:21:15"
732350,"Firefox OS","General",21,"RESOLVED","FIXED","[b2] Cancel the click event sooner when panning has started to prevent unexpected clicks","2012-03-05 13:30:50"
732770,"Firefox OS","General",21,"RESOLVED","FIXED","[b2g] Cancel the active state on the current target when a pan actio has started","2012-03-05 13:31:31"
732774,"Firefox OS","General",21,"RESOLVED","FIXED","[b2] Cancel the click event when a panning action is running only if the touch happens on the panned area","2012-03-05 13:31:02"
736193,"Firefox OS","General",21,"RESOLVED","FIXED","Use the offline cache to load applications","2012-03-23 16:41:03"
739680,"Core","General",21,"RESOLVED","FIXED","onsettingchange is not called when the setting is changed inside another window","2012-03-27 12:07:19"
740974,"Toolkit","Toolbars and Toolbar Customization",21,"RESOLVED","FIXED","toolbar currentSet setter needs to return 'val' when returning early","2012-04-12 10:22:10"
742092,"Firefox OS","General",21,"RESOLVED","FIXED","Bridge the permission prompt to the content using the homescreen messaging API","2012-07-07 09:54:24"
742761,"Firefox OS","General",21,"RESOLVED","FIXED","Remove some warnings in b2g/","2012-04-18 10:21:12"
742765,"Core","General",21,"RESOLVED","FIXED","this._indexedDB is undefined in SettingsManager.js","2012-04-12 10:21:57"
742775,"Core","General",21,"RESOLVED","FIXED","Turn off the debug mode by default on SmsDatabaseService.js","2012-04-12 10:22:23"
742778,"Core","General",21,"RESOLVED","FIXED","Turn off the debug mode by default for dom/wifi","2012-04-12 10:22:34"
742780,"Core","DOM: Device Interfaces",21,"RESOLVED","FIXED","Turn off the debug mode by default for dom/system/gonk/systemlibs.js","2012-04-12 23:27:27"
742805,"Core","General",21,"RESOLVED","FIXED","Do not dump ril socket failures on a desktop build with --enable-b2g-ril","2012-04-12 10:22:46"
743229,"Firefox OS","General",21,"RESOLVED","FIXED","Return 'number' instead of 'text' for input type='number' element in the showime event","2012-04-12 10:23:55"
748077,"Firefox OS","General",21,"RESOLVED","FIXED","Remove some leaks in b2g/","2012-05-05 03:45:09"
748858,"Core","DOM: Core & HTML",21,"RESOLVED","FIXED","Use the startPoint argument of mozIDOMApplication.launch","2012-05-06 20:54:12"
748886,"Firefox OS","General",21,"RESOLVED","FIXED","Map the language setting to intl.accept_languages to reflect the choice of mozSettings","2012-05-09 17:18:58"
748889,"Toolkit","General",21,"RESOLVED","FIXED","Silent a warning about an undefined [""@mozilla.org/privatebrowsing;1""] property in strict mode","2012-06-06 09:26:15"
748895,"Toolkit Graveyard","Error Console",21,"RESOLVED","FIXED","Error message if an error message arrived after the destruction of the console binding","2016-06-29 11:02:31"
751144,"Core","DOM: Core & HTML",21,"RESOLVED","FIXED","warning: ok is undefined in dom/base/WebApps.js","2012-05-05 03:44:36"
751145,"Firefox OS","General",21,"RESOLVED","FIXED","Silent extensions update mechanism","2012-05-05 03:44:25"
751146,"Firefox OS","General",21,"RESOLVED","FIXED","Fire a contextmenu event on a long-press","2012-05-05 03:44:17"
751147,"Firefox OS","General",21,"RESOLVED","FIXED","Remove touch.js from b2g/","2012-05-05 03:44:04"
754083,"Firefox OS","General",21,"RESOLVED","FIXED","Implement mozKeyboard.onfocuschange","2012-06-25 10:14:34"
757496,"Firefox OS","General",21,"RESOLVED","FIXED","Support mozKeyboard.setSelectedOption[s]","2012-06-07 05:53:02"
758672,"Firefox OS","General",21,"RESOLVED","FIXED","Support mozKeyboard.setValue","2012-06-07 05:53:10"
759017,"Core","DOM",21,"RESOLVED","FIXED","whitelisted key events does not contain correct keyCode information","2012-06-06 02:07:05"
760100,"Core","DOM: Device Interfaces",21,"RESOLVED","FIXED","mozSettings throw a __exposedProps__ warning when returning a result","2012-06-07 05:53:27"
760402,"Firefox OS","General",21,"RESOLVED","FIXED","Map debugger preference to mozSettings","2012-06-07 05:52:56"
762349,"Core","DOM",21,"RESOLVED","FIXED","Allow Sleep button to bubble from browser frames","2012-06-12 22:41:43"
763590,"Firefox OS","General",21,"RESOLVED","FIXED","B2G desktop build resolution should be HVGA by default","2012-06-12 03:06:08"
766549,"Firefox OS","General",21,"RESOLVED","FIXED","Keyboard appear when pressing buttons","2012-06-26 09:25:14"
766878,"Firefox OS","General",21,"RESOLVED","FIXED","IME prototype doesn't work with <iframe mozbrowser remote>","2012-06-27 03:37:16"
770453,"Core","General",21,"RESOLVED","FIXED","[b2g] semi-transparent scroll bars should not occupy content-flow space","2012-08-07 22:01:07"
770847,"Core","DOM",21,"RESOLVED","FIXED","[BrowserAPI] mozbrowserscroll event to inform embedder when the content has scrolled","2013-04-04 13:53:44"
770869,"Firefox OS","General",21,"RESOLVED","FIXED","Ignore input type='image' in the IME API","2012-07-13 05:30:03"
771518,"Firefox OS","General",21,"RESOLVED","FIXED","ContentPermissionPrompt.js is broken since Bug 757137 landed","2012-07-13 05:30:07"
773534,"Core","Widget: Gonk",21,"RESOLVED","FIXED","Show briefly the typed character for <input type=""password"">","2012-07-14 19:57:50"
774000,"Firefox OS","General",21,"RESOLVED","FIXED","Volume is always set to 0 on the device","2012-07-15 19:47:35"
774809,"Core","DOM",21,"RESOLVED","FIXED","[BrowserAPI] Add methods to send mouse/touch events to the content","2013-04-04 13:53:44"
776792,"Firefox OS","General",21,"RESOLVED","FIXED","Fire an Activity for application/pdf document","2013-07-29 18:20:04"
777672,"Core","Layout",21,"RESOLVED","FIXED","B2G phone ignores |body { overflow: hidden }|","2012-08-06 08:42:04"
778810,"Core","Layout",21,"RESOLVED","FIXED","Show/Hide scrollbars depending on activity","2018-04-03 01:45:30"
780336,"Firefox OS","General",21,"RESOLVED","FIXED","BrowserElementScrolling cosumes 7% of profile time on gaia homescreen, but isn't used","2012-08-24 10:48:22"
780373,"Core","SVG",21,"RESOLVED","FIXED","scrollbars-01.svg & scrollbars-02.svg are perma-orange on Android","2012-08-04 18:41:59"
